Date,Close,Open,High,Low,STOCHk_14_3_3,STOCHd_14_3_3,stoch_diff,Stoch_Signal,Stoch_Entry/Exit,side,cost/proceeds,trade_volume,shares,value
2021-06-22 14:30:00-04:00,423.82000732421875,422.4800109863281,424.0,422.42999267578125,97.7996078769895,97.68318659077123,0.11642128621826942,1.0,0.0,hold,,,100.0,
2021-06-22 15:30:00-04:00,423.05999755859375,423.82000732421875,423.9599914550781,422.989990234375,94.84167250164946,96.79046035925342,-1.9487878576039606,-1.0,-2.0,sell_short,42305.999755859375,100.0,0.0,42305.999755859375
2021-06-23 09:30:00-04:00,423.6549987792969,423.3450012207031,424.04998779296875,423.04998779296875,92.8283186502577,95.15653300963221,-2.3282143593745133,-1.0,0.0,hold,,,0.0,
2021-06-23 10:30:00-04:00,423.2099914550781,423.6700134277344,423.7099914550781,422.92999267578125,86.88226625400186,91.517419135303,-4.6351528813011384,-1.0,0.0,hold,,,0.0,
2021-06-23 11:30:00-04:00,423.3900146484375,423.2200012207031,423.4599914550781,422.9200134277344,85.5863632722925,88.43231605885069,-2.845952786558186,-1.0,0.0,hold,,,0.0,
2021-06-23 12:30:00-04:00,423.5350036621094,423.385009765625,423.5899963378906,422.69000244140625,83.90624624871823,85.45829192500419,-1.5520456762859567,-1.0,0.0,hold,,,0.0,
2021-06-23 13:30:00-04:00,423.24798583984375,423.5400085449219,423.6000061035156,423.2149963378906,83.76358309024373,84.41873087041814,-0.655147780174417,-1.0,0.0,hold,,,0.0,
2021-06-23 14:30:00-04:00,423.7099914550781,423.25,423.82000732421875,423.17999267578125,86.08747344766529,84.5857675955424,1.5017058521228819,1.0,2.0,go long,-42370.99914550781,100.0,100.0,42370.99914550781
2021-06-23 15:30:00-04:00,422.6000061035156,423.70001220703125,423.7300109863281,422.510009765625,78.23695060048631,82.69600237946511,-4.459051778978804,-1.0,-2.0,sell_short,42260.00061035156,100.0,0.0,42260.00061035156
2021-06-24 09:30:00-04:00,425.4700012207031,424.8900146484375,425.4700012207031,424.7200012207031,84.97080204065419,83.0984086962686,1.8723933443855856,1.0,2.0,go long,-42547.00012207031,100.0,100.0,42547.00012207031
2021-06-24 10:30:00-04:00,424.9700012207031,425.4700012207031,425.5299987792969,424.79998779296875,82.56730320804515,81.92501861639522,0.6422845916499256,1.0,0.0,hold,,,100.0,
2021-06-24 11:30:00-04:00,424.9700012207031,424.9750061035156,425.1600036621094,424.6199951171875,89.25160688188913,85.59657071019615,3.6550361716929842,1.0,0.0,hold,,,100.0,
2021-06-24 12:30:00-04:00,425.05499267578125,424.9690856933594,425.5299987792969,424.8699951171875,84.45354768373375,85.4241525912227,-0.9706049074889478,-1.0,-2.0,sell_short,42505.499267578125,100.0,0.0,42505.499267578125
2021-06-24 13:30:00-04:00,425.4100036621094,425.04998779296875,425.4599914550781,424.7699890136719,88.42149126615118,87.37554861059135,1.045942655559827,1.0,2.0,go long,-42541.00036621094,100.0,100.0,42541.00036621094
2021-06-24 14:30:00-04:00,425.0299072265625,425.4200134277344,425.54998779296875,424.9700012207031,88.20899425730032,87.02801106906175,1.1809831882385708,1.0,0.0,hold,,,100.0,
2021-06-24 15:30:00-04:00,425.0899963378906,425.0199890136719,425.3599853515625,424.8500061035156,87.9632510448173,88.19791218942294,-0.23466114460563858,-1.0,-2.0,sell_short,42508.99963378906,100.0,0.0,42508.99963378906
2021-06-25 09:30:00-04:00,426.3599853515625,426.0249938964844,426.4800109863281,425.54998779296875,88.24574697920717,88.13933076044161,0.10641621876555973,1.0,2.0,go long,-42635.99853515625,100.0,100.0,42635.99853515625
2021-06-25 10:30:00-04:00,426.2900085449219,426.3599853515625,426.44500732421875,425.8500061035156,92.35310790973199,89.52070197791882,2.8324059318131702,1.0,0.0,hold,,,100.0,
2021-06-25 11:30:00-04:00,426.1000061035156,426.30999755859375,426.3800048828125,426.0799865722656,94.20627416614776,91.60170968502898,2.6045644811187856,1.0,0.0,hold,,,100.0,
2021-06-25 12:30:00-04:00,426.1700134277344,426.1099853515625,426.3500061035156,426.0400085449219,92.61121232387056,93.05686479991677,-0.44565247604620595,-1.0,-2.0,sell_short,42617.00134277344,100.0,0.0,42617.00134277344
2021-06-25 13:30:00-04:00,426.3800048828125,426.1700134277344,426.44000244140625,425.95111083984375,93.3668488496337,93.39477844655067,-0.027929596916976607,-1.0,0.0,hold,,,0.0,
2021-06-25 14:30:00-04:00,426.5899963378906,426.3900146484375,426.9599914550781,426.30999755859375,93.78597459469047,93.25467858939824,0.5312960052922335,1.0,2.0,go long,-42658.99963378906,100.0,100.0,42658.99963378906
2021-06-25 15:30:00-04:00,426.57000732421875,426.5950012207031,427.09429931640625,426.4100036621094,89.32565075062011,92.15949139831476,-2.833840647694643,-1.0,-2.0,sell_short,42657.000732421875,100.0,0.0,42657.000732421875
2021-06-28 09:30:00-04:00,426.6499938964844,427.17999267578125,427.2419128417969,426.0199890136719,82.64006508048969,88.5838968086001,-5.9438317281104105,-1.0,0.0,hold,,,0.0,
2021-06-28 10:30:00-04:00,426.2650146484375,426.6499938964844,426.80499267578125,426.19000244140625,72.99193592341756,81.65255058484246,-8.660614661424901,-1.0,0.0,hold,,,0.0,
2021-06-28 11:30:00-04:00,426.3599853515625,426.260009765625,426.6499938964844,426.1499938964844,68.16250061969085,74.59816720786603,-6.435666588175181,-1.0,0.0,hold,,,0.0,
2021-06-28 12:30:00-04:00,425.94000244140625,426.364990234375,426.42999267578125,425.8900146484375,58.131800762980134,66.42874576869617,-8.29694500571604,-1.0,0.0,hold,,,0.0,
2021-06-28 13:30:00-04:00,426.7099914550781,425.95001220703125,426.760009765625,425.8900146484375,63.1386459226244,63.144315768431795,-0.005669845807396712,-1.0,0.0,hold,,,0.0,
2021-06-28 14:30:00-04:00,427.19000244140625,426.7149963378906,427.2900085449219,426.6700134277344,73.66503628226639,64.97849432262365,8.686541959642739,1.0,2.0,go long,-42719.000244140625,100.0,100.0,42719.000244140625
2021-06-28 15:30:00-04:00,427.4800109863281,427.19500732421875,427.6499938964844,427.1000061035156,88.52286977135672,75.10885065874918,13.414019112607548,1.0,0.0,hold,,,100.0,
2021-06-29 09:30:00-04:00,428.17999267578125,428.17999267578125,428.3999938964844,427.92999267578125,93.05981746070012,85.08257450477441,7.977242955925703,1.0,0.0,hold,,,100.0,
2021-06-29 10:30:00-04:00,428.19000244140625,428.17999267578125,428.55999755859375,427.9700012207031,89.80682511903268,90.46317078369651,-0.6563456646638315,-1.0,-2.0,sell_short,42819.000244140625,100.0,0.0,42819.000244140625
2021-06-29 11:30:00-04:00,428.05499267578125,428.19500732421875,428.2200012207031,427.8450012207031,86.2002381686414,89.68896024945808,-3.4887220808166717,-1.0,0.0,hold,,,0.0,
2021-06-29 12:30:00-04:00,427.7430114746094,428.05499267578125,428.07000732421875,427.739990234375,78.87644302205965,84.96116876991124,-6.084725747851593,-1.0,0.0,hold,,,0.0,
2021-06-29 13:30:00-04:00,427.6600036621094,427.7439880371094,428.05999755859375,427.6099853515625,72.259686821351,79.11212267068402,-6.85243584933302,-1.0,0.0,hold,,,0.0,
2021-06-29 14:30:00-04:00,427.7049865722656,427.6600036621094,427.75,427.1300048828125,67.89004457652301,73.00872480664457,-5.118680230121555,-1.0,0.0,hold,,,0.0,
